pandal_id,pandal_name,region,source_year,latitude,longitude,nearest_metro,nearest_metro_distance_km,nearest_railway_station,popularity_score,expected_crowd_level,famous,family_friendly,best_time_to_visit,theme,description,image_url,metro_assignment_note
122,Pally Mangal Samity,South Kolkata,2025,,,Jatin Das Park,,,,,,,,,,,web-verified station address; locality-based assignment
123,Panchanna Gram Adhibasibrinda,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
124,Paschim Putiary Sarbojanin Nabo Durgotsav,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
125,Patuli Sarbojanin Durgotsab,South Kolkata,2025,,,Kavi Nazrul,,,,,,,,,,,web-verified station address; locality-based assignment
126,Peyarabagan Sarbojanin Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
127,Picnic Sunrise Club,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
128,Pragati Sangha Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
129,Pragati Sangha Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
130,Purbachal Residents Sarbojanin Durgotsav,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
131,Putiary Sarbojanin Durgotsab Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
132,Ramgarh Satapally Sarbojanin Durgotsav Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
133,Rashbehari Suhrid Sangha,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
134,Russa Madhyapally Sarbojanin Durgotsav,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
135,Sahapur Suhrid Sangha Durga Puja Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
136,Sammilani Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
137,Sanghasree Kalighat Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
138,Santoshpur Avenue South,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
139,Santoshpur Lake Pally Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
140,Santoshpur Trikon Park Durgotsab,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
141,Shibmandir Sarbojanin Durgotsab Samiti,South Kolkata,2025,,,Rabindra Sarobar,,,,,,,,,,,web-verified station address; locality-based assignment
142,Singhi Park Sarbojanin Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
143,Sonarpur Sarbojanin Durgotsav Puja Committee,South Kolkata,2025,,,Kavi Nazrul,,,,,,,,,,,web-verified station address; locality-based assignment
144,Sri Sri Sarbojanin Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
145,Surya Nagar Sarbojanin Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
146,Tridhara Sammilani Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
147,Tulipians Durgotsav,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
148,Udayan Kidderpore Durga Puja,South Kolkata,2025,,,Majerhat,,,,,,,,,,,web-verified station address; locality-based assignment
149,Upohar Utsav Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
150,VIP Nagar Sarbojanin Durga Puja Committee,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
151,Westend Park Sarbojanin Durga Puja,South Kolkata,2025,,,Kalighat,,,,,,,,,,,web-verified station address; locality-based assignment
152,14 Pally Udayan Sangha,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
153,37 Pally Sarbojanin Durgotsab,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
154,47 Pally Jubak Brinda Durga Puja,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
155,Central Calcutta Youth Association,Central Kolkata,2025,,,Central,,,,,,,,,,,web-verified station address; locality-based assignment
156,College Square Sarbojanin Durgotsav,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
157,Entally Matribhumi Durga Puja,Central Kolkata,2025,,,Sealdah,,,,,,,,,,,web-verified station address; locality-based assignment
158,Entally Sarbojanin Sri Sri Durga Puja,Central Kolkata,2025,,,Sealdah,,,,,,,,,,,web-verified station address; locality-based assignment
159,Interact Club of Chowringhee High School Sarbojanin Durga Puja,Central Kolkata,2025,,,Esplanade,,,,,,,,,,,web-verified station address; locality-based assignment
160,Kanai Dhar Lane Adhibasi Brinda,Central Kolkata,2025,,,Central,,,,,,,,,,,web-verified station address; locality-based assignment
161,Machua Bazar Sarbajanik Durga Puja Samity,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
162,Md. Ali Park Durga Puja,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
163,New Market Sarbojanin Sri Sri Durga Puja,Central Kolkata,2025,,,Esplanade,,,,,,,,,,,web-verified station address; locality-based assignment
164,Pallir Yubak Brinda Durga Puja,Central Kolkata,2025,,,Esplanade,,,,,,,,,,,web-verified station address; locality-based assignment
165,Santosh Mitra Square Durga Puja,Central Kolkata,2025,,,Sealdah,,,,,,,,,,,web-verified station address; locality-based assignment
166,Shishu Palan Foundation,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
167,Wellington Nagarik Kalyan Samity Durga Puja,Central Kolkata,2025,,,Esplanade,,,,,,,,,,,web-verified station address; locality-based assignment
168,Shimla Byam Samity,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
169,Singhi Bagan Durga Puja,Central Kolkata,2025,,,Mahatma Gandhi Road,,,,,,,,,,,web-verified station address; locality-based assignment
170,Beliaghata 33 Palli Durga Puja,Central Kolkata,2025,,,Sealdah,,,,,,,,,,,web-verified station address; locality-based assignment
171,Entally Sarbojanin,Central Kolkata,2025,,,Sealdah,,,,,,,,,,,web-verified station address; locality-based assignment
172,AJ Block Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
173,BD Block Sarbojanin Durgotsab Committee,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
174,BJ Block Saradotsav Committee,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
175,BL Block Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
176,EKTP Phase 2 Abasik Puja Samity,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
177,Jawpur Bayam Samity Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
178,Judge Bagan Sarbojanin Durgotsab,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
179,Kanjial Para Puja Samity Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
180,Nabapally Adhibashi Brinda Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
181,Netaji Sporting Club Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
182,Prafulla Kanan Sarbojanin Durgotsab,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
183,Purba Kalikata Sarbojanin Durgotsav,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
184,Purbanchal Prabhati Sangha Durga Puja,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
185,Sixemes Cooperative Housing Durgotsav,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
186,"Sree Sree Durga Puja Committee, Rabindrapally",East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
187,New Town Sarbojanin,East Kolkata & Salt Lake,2025,,,Karunamoyee,,,,,,,,,,,web-verified station address; locality-based assignment
188,AK Block Salt Lake,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
189,Mitali Sangha Kankurgachi,East Kolkata & Salt Lake,2025,,,City Centre,,,,,,,,,,,web-verified station address; locality-based assignment
190,2 No Basudebpur Sarbojanin Durga Puja,Behala,2025,,,Behala Bazar,,,,,,,,,,,web-verified station address; locality-based assignment
191,7er Pally Sarbojanin Durga Puja Committee,Behala,2025,,,Behala Bazar,,,,,,,,,,,web-verified station address; locality-based assignment
192,Acharya Prafulla Sangha,Behala,2025,,,Behala Bazar,,,,,,,,,,,web-verified station address; locality-based assignment
193,Ajeya Sanghati Durga Puja,Behala,2025,,,Behala Bazar,,,,,,,,,,,web-verified station address; locality-based assignment
194,Barisha Kumarpara Youngs' Club Durga Puja,Behala,2025,,,Behala Chowrasta,,,,,,,,,,,web-verified station address; locality-based assignment
195,Barisha Maitree Sangha Durgotsab,Behala,2025,,,Behala Chowrasta,,,,,,,,,,,web-verified station address; locality-based assignment
196,Barisha Milani Sangha Durga Puja,Behala,2025,,,Behala Chowrasta,,,,,,,,,,,web-verified station address; locality-based assignment
197,Barisha Netaji Sangha Durga Puja,Behala,2025,,,Behala Chowrasta,,,,,,,,,,,web-verified station address; locality-based assignment
198,Barisha Sarbojanin Durgotsab,Behala,2025,,,Behala Chowrasta,,,,,,,,,,,web-verified station address; locality-based assignment
199,Barisha Saterpalli Sammilani Durga Puja,Behala,2025,,,Behala Chowrasta,,,,,,,,,,,web-verified station address; locality-based assignment
200,Behala 11 Pally Durga Puja,Behala,2025,,,Behala Bazar,,,,,,,,,,,web-verified station address; locality-based assignment
201,Haridevpur 41 Palli,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
202,Vivekananda Park Athletic Club Durga Puja,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
203,Haridevpur Nabinsathi Club,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
204,Sodepur Jatiya Sangha Durga Puja,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
205,Adarsha Samiti Club Durga Puja,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
206,Haridevpur Vivekananda Park,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
207,Haridevpur Friends Club Durga Puja,Haridevpur,2025,,,Mahanayak Uttam Kumar,,,,,,,,,,,web-verified station address; locality-based assignment
