id,name,area,address,latitude,longitude,image,walking_distance,nearest_metro,popularity,crowd_level,theme,description,rating,organizer,opening_time,closing_time
12,Calcutta Youth Forum,North Kolkata,"Calcutta Youth Forum, Calcutta Youth Forum, North Kolkata, Kolkata, West Bengal, 700004, India",22.610412,88.360934,https://images.pujapath.in/pandals/calcutta_youth_forum.jpg,700,Shyambazar,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
13,Campbagan Sadharan Durgotsav,North Kolkata,"Campbagan Sadharan Durgotsav, Campbagan Sadharan, North Kolkata, Kolkata, West Bengal, 700004, India",22.594234,88.371123,https://images.pujapath.in/pandals/campbagan_sadharan_durgotsav.jpg,900,Shyambazar,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
14,Chaltabagan Lohapatty Durga Puja,North Kolkata,"Chaltabagan Lohapatty Durga Puja, Chaltabagan Lohapatty, North Kolkata, Kolkata, West Bengal, 700006, India",22.584123,88.369512,https://images.pujapath.in/pandals/chaltabagan_lohapatty_durga_puja.jpg,1100,Girish Park,9.4,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
15,Chorebagan Sarbojanin Durgotsab Samity,North Kolkata,"Chorebagan Sarbojanin Durgotsab Samity, Chorebagan Durgotsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",22.609845,88.367523,https://images.pujapath.in/pandals/chorebagan_sarbojanin_durgotsab_samity.jpg,300,Shyambazar,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
16,Cossipore Shakti Sangha Durga Puja,North Kolkata,"Cossipore Shakti Sangha Durga Puja, Cossipore Shakti Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",22.593612,88.377734,https://images.pujapath.in/pandals/cossipore_shakti_sangha_durga_puja.jpg,500,Shyambazar,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
17,Dakshin Rabindrapally Sarbojanin Durga Puja,North Kolkata,"Dakshin Rabindrapally Sarbojanin Durga Puja, Dakshin Rabindrapally, North Kolkata, Kolkata, West Bengal, 700004, India",22.601423,88.363945,https://images.pujapath.in/pandals/dakshin_rabindrapally_sarbojanin_durga_puja.jpg,700,Shyambazar,7.4,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
18,Darjeepara Sarbojanin Durgotsab Samity,North Kolkata,"Darjeepara Sarbojanin Durgotsab Samity, Darjeepara Durgotsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",22.609212,88.374123,https://images.pujapath.in/pandals/darjeepara_sarbojanin_durgotsab_samity.jpg,900,Shyambazar,7.5,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
19,Deshbandhunagar Sarbojanin Durgotsab,North Kolkata,"Deshbandhunagar Sarbojanin Durgotsab, Deshbandhunagar Durgotsab, North Kolkata, Kolkata, West Bengal, 700055, India",22.614734,88.368112,https://images.pujapath.in/pandals/deshbandhunagar_sarbojanin_durgotsab.jpg,1100,Dum Dum,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
20,Dum Dum Park Bharat Chakra Durga Puja,North Kolkata,"Dum Dum Park Bharat Chakra Durga Puja, Dum Dum Park Bharat Chakra, North Kolkata, Kolkata, West Bengal, 700055, India",22.610512,88.399234,https://images.pujapath.in/pandals/dum_dum_park_bharat_chakra_durga_puja.jpg,300,Dum Dum,9.0,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
21,Dum Dum Park Sarbojanin Durga Puja,North Kolkata,"Dum Dum Park Sarbojanin Durga Puja, Dum Dum Park, North Kolkata, Kolkata, West Bengal, 700055, India",22.630323,88.388545,https://images.pujapath.in/pandals/dum_dum_park_sarbojanin_durga_puja.jpg,500,Dum Dum,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
22,Goabagan Sarodatsav Sammilani Durga Puja,North Kolkata,"Goabagan Sarodatsav Sammilani Durga Puja, Goabagan Sarodatsav Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",22.592412,88.366934,https://images.pujapath.in/pandals/goabagan_sarodatsav_sammilani_durga_puja.jpg,700,Shyambazar,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
23,Golaghata Sammilani Durga Puja,North Kolkata,"Golaghata Sammilani Durga Puja, Golaghata Sammilani, North Kolkata, Kolkata, West Bengal, 700004, India",22.600234,88.377123,https://images.pujapath.in/pandals/golaghata_sammilani_durga_puja.jpg,900,Shyambazar,8.0,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
24,Grey Street Sarbojanin Durga Puja,North Kolkata,"Grey Street Sarbojanin Durga Puja, Grey Street, North Kolkata, Kolkata, West Bengal, 700004, India",22.608012,88.363345,https://images.pujapath.in/pandals/grey_street_sarbojanin_durga_puja.jpg,1100,Shyambazar,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
25,Halsibagan Sarbojanin Durgotsab,North Kolkata,"Halsibagan Sarbojanin Durgotsab, Halsibagan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",22.591823,88.373512,https://images.pujapath.in/pandals/halsibagan_sarbojanin_durgotsab.jpg,300,Shyambazar,8.2,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
26,Hari Ghosh Street Sarbojanin,North Kolkata,"Hari Ghosh Street Sarbojanin, Hari Ghosh Street, North Kolkata, Kolkata, West Bengal, 700004, India",22.599645,88.359734,https://images.pujapath.in/pandals/hari_ghosh_street_sarbojanin.jpg,500,Shyambazar,8.3,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
27,Hatibagan Nabinpally Sarbojanin Durgotsav,North Kolkata,"Hatibagan Nabinpally Sarbojanin Durgotsav, Hatibagan Nabinpally, North Kolkata, Kolkata, West Bengal, 700004, India",22.607412,88.369923,https://images.pujapath.in/pandals/hatibagan_nabinpally_sarbojanin_durgotsav.jpg,700,Shyambazar,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
28,Jagat Mukherjee Park Durga Puja,North Kolkata,"Jagat Mukherjee Park Durga Puja, Jagat Mukherjee Park, North Kolkata, Kolkata, West Bengal, 700005, India",22.598234,88.362145,https://images.pujapath.in/pandals/jagat_mukherjee_park_durga_puja.jpg,900,Shobhabazar Sutanuti,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
29,Jokermath Sarbojonin Durga Puja,North Kolkata,"Jokermath Sarbojonin Durga Puja, Jokermath Sarbojonin, North Kolkata, Kolkata, West Bengal, 700004, India",22.605212,88.372323,https://images.pujapath.in/pandals/jokermath_sarbojonin_durga_puja.jpg,1100,Shyambazar,8.6,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
30,Kailash Bose Street Durga Puja,North Kolkata,"Kailash Bose Street Durga Puja, Kailash Bose Street, North Kolkata, Kolkata, West Bengal, 700004, India",22.589045,88.365512,https://images.pujapath.in/pandals/kailash_bose_street_durga_puja.jpg,300,Shyambazar,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
31,Kankurgachi Sarbojanin Durgotsab,North Kolkata,"Kankurgachi Sarbojanin Durgotsab, Kankurgachi Durgotsab, North Kolkata, Kolkata, West Bengal, 700064, India",22.586823,88.375734,https://images.pujapath.in/pandals/kankurgachi_sarbojanin_durgotsab.jpg,500,City Centre,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
32,Kashi Bose Lane Durga Puja Committee,North Kolkata,"Kashi Bose Lane Durga Puja Committee, Kashi Bose Lane, North Kolkata, Kolkata, West Bengal, 700006, India",22.589234,88.368123,https://images.pujapath.in/pandals/kashi_bose_lane_durga_puja_committee.jpg,700,Girish Park,9.2,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
33,Kumartuli Park Sarbojanin Durgotsab Committee,North Kolkata,"Kumartuli Park Sarbojanin Durgotsab Committee, Kumartuli Park Durgotsab, North Kolkata, Kolkata, West Bengal, 700005, India",22.599512,88.360145,https://images.pujapath.in/pandals/kumartuli_park_sarbojanin_durgotsab_committee.jpg,900,Shobhabazar Sutanuti,9.3,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
34,Kumartuli Sarbojanin Durgotsab,North Kolkata,"Kumartuli Sarbojanin Durgotsab, Kumartuli Durgotsab, North Kolkata, Kolkata, West Bengal, 700005, India",22.598823,88.360534,https://images.pujapath.in/pandals/kumartuli_sarbojanin_durgotsab.jpg,1100,Shobhabazar Sutanuti,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
35,Lake View Park Sarbojanin Durgotsav Samity,North Kolkata,"Lake View Park Sarbojanin Durgotsav Samity, Lake View Park Samity, North Kolkata, Kolkata, West Bengal, 700004, India",22.608245,88.370712,https://images.pujapath.in/pandals/lake_view_park_sarbojanin_durgotsav_samity.jpg,300,Shyambazar,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
36,Mahalla Sarbojanin Durgautsab Samity,North Kolkata,"Mahalla Sarbojanin Durgautsab Samity, Mahalla Durgautsab Samity, North Kolkata, Kolkata, West Bengal, 700004, India",22.592012,88.356934,https://images.pujapath.in/pandals/mahalla_sarbojanin_durgautsab_samity.jpg,500,Shyambazar,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
37,Mitali Kankurgachi Durga Puja,North Kolkata,"Mitali Kankurgachi Durga Puja, Mitali Kankurgachi, North Kolkata, Kolkata, West Bengal, 700064, India",22.589834,88.367123,https://images.pujapath.in/pandals/mitali_kankurgachi_durga_puja.jpg,700,City Centre,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
38,Nalin Sarkar Street Sarbojanin Durgotsab,North Kolkata,"Nalin Sarkar Street Sarbojanin Durgotsab, Nalin Sarkar Street Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",22.597612,88.377345,https://images.pujapath.in/pandals/nalin_sarkar_street_sarbojanin_durgotsab.jpg,900,Shyambazar,8.0,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
39,Nimtala Sarbojanin Durgotsab,North Kolkata,"Nimtala Sarbojanin Durgotsab, Nimtala Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",22.595434,88.355212,https://images.pujapath.in/pandals/nimtala_sarbojanin_durgotsab.jpg,1100,Shyambazar,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
40,Sreebhumi Sporting Club Durga Puja,North Kolkata,"Sreebhumi Sporting Club Durga Puja, Sreebhumi Sporting, North Kolkata, Kolkata, West Bengal, 700004, India",22.599723,88.397612,https://images.pujapath.in/pandals/sreebhumi_sporting_club_durga_puja.jpg,300,Shyambazar,9.0,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
41,Tala Barowari Durgotsab,North Kolkata,"Tala Barowari Durgotsab, Tala Barowari Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",22.607512,88.375234,https://images.pujapath.in/pandals/tala_barowari_durgotsab.jpg,500,Shyambazar,9.1,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
42,Tala Dakshin Pally Durgotsav Committee,North Kolkata,"Tala Dakshin Pally Durgotsav Committee, Tala Dakshin Pally, North Kolkata, Kolkata, West Bengal, 700004, India",22.606823,88.375612,https://images.pujapath.in/pandals/tala_dakshin_pally_durgotsav_committee.jpg,700,Shyambazar,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
43,Tala Park 15 Pally Durga Puja,North Kolkata,"Tala Park 15 Pally Durga Puja, Tala Park 15 Pally, North Kolkata, Kolkata, West Bengal, 700004, India",22.607145,88.374934,https://images.pujapath.in/pandals/tala_park_15_pally_durga_puja.jpg,900,Shyambazar,8.5,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
44,Telengabagan Sarbojanin Durgotsab,North Kolkata,"Telengabagan Sarbojanin Durgotsab, Telengabagan Durgotsab, North Kolkata, Kolkata, West Bengal, 700004, India",22.593212,88.382123,https://images.pujapath.in/pandals/telengabagan_sarbojanin_durgotsab.jpg,1100,Shyambazar,9.4,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
45,Ultadanga Jagarani Sangha Durga Puja,North Kolkata,"Ultadanga Jagarani Sangha Durga Puja, Ultadanga Jagarani Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",22.592534,88.382512,https://images.pujapath.in/pandals/ultadanga_jagarani_sangha_durga_puja.jpg,300,Shyambazar,7.2,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
46,Ultadanga Pallyshree Durga Puja,North Kolkata,"Ultadanga Pallyshree Durga Puja, Ultadanga Pallyshree, North Kolkata, Kolkata, West Bengal, 700004, India",22.592812,88.381834,https://images.pujapath.in/pandals/ultadanga_pallyshree_durga_puja.jpg,500,Shyambazar,7.3,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
47,Ultadanga Sangrami Durga Puja,North Kolkata,"Ultadanga Sangrami Durga Puja, Ultadanga Sangrami, North Kolkata, Kolkata, West Bengal, 700004, India",22.593045,88.382212,https://images.pujapath.in/pandals/ultadanga_sangrami_durga_puja.jpg,700,Shyambazar,7.4,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
48,Young Citizens Club Durga Puja,North Kolkata,"Young Citizens Club Durga Puja, Young Citizens, North Kolkata, Kolkata, West Bengal, 700004, India",22.598623,88.372434,https://images.pujapath.in/pandals/young_citizens_club_durga_puja.jpg,900,Shyambazar,7.5,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in North Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
49,21 Pally Sarbojanin Durgotsab Samiti,South Kolkata,"21 Pally Sarbojanin Durgotsab Samiti, 21 Pally Durgotsab Samiti, South Kolkata, Kolkata, West Bengal, 700026, India",22.528012,88.349023,https://images.pujapath.in/pandals/21_pally_sarbojanin_durgotsab_samiti.jpg,1100,Kalighat,7.6,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
50,22 Palli Sarodotsav,South Kolkata,"22 Palli Sarodotsav, 22 Palli Sarodotsav, South Kolkata, Kolkata, West Bengal, 700026, India",22.527334,88.349412,https://images.pujapath.in/pandals/22_palli_sarodotsav.jpg,300,Kalighat,7.7,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
51,25 Pally Durga Puja,South Kolkata,"25 Pally Durga Puja, 25 Pally, South Kolkata, Kolkata, West Bengal, 700026, India",22.526645,88.348734,https://images.pujapath.in/pandals/25_pally_durga_puja.jpg,500,Kalighat,7.8,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
52,64 Pally Durgotsab Committee,South Kolkata,"64 Pally Durgotsab Committee, 64 Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.521012,88.347023,https://images.pujapath.in/pandals/64_pally_durgotsab_committee.jpg,700,Kalighat,7.9,Low,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
53,66 Pally Sarbojanin Durgotsab Committee,South Kolkata,"66 Pally Sarbojanin Durgotsab Committee, 66 Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.520712,88.346934,https://images.pujapath.in/pandals/66_pally_sarbojanin_durgotsab_committee.jpg,900,Kalighat,9.3,High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
54,70 Pally Sarbojanin Durga Puja,South Kolkata,"70 Pally Sarbojanin Durga Puja, 70 Pally, South Kolkata, Kolkata, West Bengal, 700026, India",22.521434,88.346312,https://images.pujapath.in/pandals/70_pally_sarbojanin_durga_puja.jpg,1100,Kalighat,8.1,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
55,95 Pally Jodhpur Park Durga Puja,South Kolkata,"95 Pally Jodhpur Park Durga Puja, 95 Pally Jodhpur Park, South Kolkata, Kolkata, West Bengal, 700029, India",22.502812,88.365023,https://images.pujapath.in/pandals/95_pally_jodhpur_park_durga_puja.jpg,300,Rabindra Sarobar,9.5,Extremely High,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
56,Abasar Sarbojanin Durgotsab Committee,South Kolkata,"Abasar Sarbojanin Durgotsab Committee, Abasar Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",22.525034,88.345012,https://images.pujapath.in/pandals/abasar_sarbojanin_durgotsab_committee.jpg,500,Kalighat,8.3,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
57,Abasorika Durgotsav Committee,South Kolkata,"Abasorika Durgotsav Committee, Abasorika, South Kolkata, Kolkata, West Bengal, 700026, India",22.524312,88.345434,https://images.pujapath.in/pandals/abasorika_durgotsav_committee.jpg,700,Kalighat,8.4,Moderate,Traditional Sabeki Protima & Cultural Bengal Heritage,"Famous Durga Puja celebration in South Kolkata, Kolkata featuring traditional rituals and vibrant community festivities.",4.5,,06:00 AM,12:00 AM
