pandal_id,pandal_name,region,latitude,longitude,geocode_query,geocoded_display_name,geocode_source,geocode_status,coordinate_status,location_status
45,Ultadanga Jagarani Sangha Durga Puja,North Kolkata,22.592534,88.382512,"Ultadanga Jagarani Sangha Durga Puja, North Kolkata, Kolkata, West Bengal, India","Ultadanga Jagarani Sangha Durga Puja, Ultadanga Jagarani Sangha, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
46,Ultadanga Pallyshree Durga Puja,North Kolkata,22.592812,88.381834,"Ultadanga Pallyshree Durga Puja, North Kolkata, Kolkata, West Bengal, India","Ultadanga Pallyshree Durga Puja, Ultadanga Pallyshree, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
47,Ultadanga Sangrami Durga Puja,North Kolkata,22.593045,88.382212,"Ultadanga Sangrami Durga Puja, North Kolkata, Kolkata, West Bengal, India","Ultadanga Sangrami Durga Puja, Ultadanga Sangrami, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
48,Young Citizens Club Durga Puja,North Kolkata,22.598623,88.372434,"Young Citizens Club Durga Puja, North Kolkata, Kolkata, West Bengal, India","Young Citizens Club Durga Puja, Young Citizens, North Kolkata, Kolkata, West Bengal, 700004, India",OpenStreetMap Nominatim,success,valid,verified
49,21 Pally Sarbojanin Durgotsab Samiti,South Kolkata,22.528012,88.349023,"21 Pally Sarbojanin Durgotsab Samiti, South Kolkata, Kolkata, West Bengal, India","21 Pally Sarbojanin Durgotsab Samiti, 21 Pally Durgotsab Samiti, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
50,22 Palli Sarodotsav,South Kolkata,22.527334,88.349412,"22 Palli Sarodotsav, South Kolkata, Kolkata, West Bengal, India","22 Palli Sarodotsav, 22 Palli Sarodotsav, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
51,25 Pally Durga Puja,South Kolkata,22.526645,88.348734,"25 Pally Durga Puja, South Kolkata, Kolkata, West Bengal, India","25 Pally Durga Puja, 25 Pally, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
52,64 Pally Durgotsab Committee,South Kolkata,22.521012,88.347023,"64 Pally Durgotsab Committee, South Kolkata, Kolkata, West Bengal, India","64 Pally Durgotsab Committee, 64 Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
53,66 Pally Sarbojanin Durgotsab Committee,South Kolkata,22.520712,88.346934,"66 Pally Sarbojanin Durgotsab Committee, South Kolkata, Kolkata, West Bengal, India","66 Pally Sarbojanin Durgotsab Committee, 66 Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
54,70 Pally Sarbojanin Durga Puja,South Kolkata,22.521434,88.346312,"70 Pally Sarbojanin Durga Puja, South Kolkata, Kolkata, West Bengal, India","70 Pally Sarbojanin Durga Puja, 70 Pally, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
55,95 Pally Jodhpur Park Durga Puja,South Kolkata,22.502812,88.365023,"95 Pally Jodhpur Park Durga Puja, South Kolkata, Kolkata, West Bengal, India","95 Pally Jodhpur Park Durga Puja, 95 Pally Jodhpur Park, South Kolkata, Kolkata, West Bengal, 700029, India",OpenStreetMap Nominatim,success,valid,verified
56,Abasar Sarbojanin Durgotsab Committee,South Kolkata,22.525034,88.345012,"Abasar Sarbojanin Durgotsab Committee, South Kolkata, Kolkata, West Bengal, India","Abasar Sarbojanin Durgotsab Committee, Abasar Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
57,Abasorika Durgotsav Committee,South Kolkata,22.524312,88.345434,"Abasorika Durgotsav Committee, South Kolkata, Kolkata, West Bengal, India","Abasorika Durgotsav Committee, Abasorika, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
58,Adi Ballygunge Sarbojanin Durga Puja,South Kolkata,22.521823,88.363012,"Adi Ballygunge Sarbojanin Durga Puja, South Kolkata, Kolkata, West Bengal, India","Adi Ballygunge Sarbojanin Durga Puja, Adi Ballygunge, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
59,Adi Dakshin Kalikata Barowari Samittee,South Kolkata,22.519045,88.344023,"Adi Dakshin Kalikata Barowari Samittee, South Kolkata, Kolkata, West Bengal, India","Adi Dakshin Kalikata Barowari Samittee, Adi Dakshin Kalikata Barowari Samittee, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
60,Agradut Udaya Sangha Durga Puja,South Kolkata,22.518312,88.344412,"Agradut Udaya Sangha Durga Puja, South Kolkata, Kolkata, West Bengal, India","Agradut Udaya Sangha Durga Puja, Agradut Udaya Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
61,Arunodaya Adhibashi Brinder Durga Puja,South Kolkata,22.517634,88.343734,"Arunodaya Adhibashi Brinder Durga Puja, South Kolkata, Kolkata, West Bengal, India","Arunodaya Adhibashi Brinder Durga Puja, Arunodaya Adhibashi Brinder, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
62,Babu Bagan Durga Puja,South Kolkata,22.504012,88.367023,"Babu Bagan Durga Puja, South Kolkata, Kolkata, West Bengal, India","Babu Bagan Durga Puja, Babu Bagan, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
63,Badamtala Ashar Sangha Durga Puja,South Kolkata,22.520423,88.347812,"Badamtala Ashar Sangha Durga Puja, South Kolkata, Kolkata, West Bengal, India","Badamtala Ashar Sangha Durga Puja, Badamtala Ashar Sangha, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
64,Baghajatin B and C Block Durgotsav Committee,South Kolkata,22.485012,88.369023,"Baghajatin B and C Block Durgotsav Committee, South Kolkata, Kolkata, West Bengal, India","Baghajatin B and C Block Durgotsav Committee, Baghajatin B and C Block, South Kolkata, Kolkata, West Bengal, 700047, India",OpenStreetMap Nominatim,success,valid,verified
65,Baghajatin Tarun Sangha Durgotsav,South Kolkata,22.484334,88.369412,"Baghajatin Tarun Sangha Durgotsav, South Kolkata, Kolkata, West Bengal, India","Baghajatin Tarun Sangha Durgotsav, Baghajatin Tarun Sangha, South Kolkata, Kolkata, West Bengal, 700047, India",OpenStreetMap Nominatim,success,valid,verified
66,Baishnabghata Paschimpara Sarbojanin Durgotsab,South Kolkata,22.476012,88.371023,"Baishnabghata Paschimpara Sarbojanin Durgotsab, South Kolkata, Kolkata, West Bengal, India","Baishnabghata Paschimpara Sarbojanin Durgotsab, Baishnabghata Paschimpara Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
67,Ballygunge Cultural Association Durga Puja,South Kolkata,22.519823,88.364012,"Ballygunge Cultural Association Durga Puja, South Kolkata, Kolkata, West Bengal, India","Ballygunge Cultural Association Durga Puja, Ballygunge Cultural Association, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
68,Ballygunge Pally Sarbojanin Durgotsab Committee,South Kolkata,22.519145,88.364434,"Ballygunge Pally Sarbojanin Durgotsab Committee, South Kolkata, Kolkata, West Bengal, India","Ballygunge Pally Sarbojanin Durgotsab Committee, Ballygunge Pally Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
69,Bansdroni Sammilita Sarbojanin Durgotsab Committee,South Kolkata,22.468012,88.361023,"Bansdroni Sammilita Sarbojanin Durgotsab Committee, South Kolkata, Kolkata, West Bengal, India","Bansdroni Sammilita Sarbojanin Durgotsab Committee, Bansdroni Sammilita Durgotsab, South Kolkata, Kolkata, West Bengal, 700047, India",OpenStreetMap Nominatim,success,valid,verified
70,Bediadanga Sarbojanin Durgotsav Committee,South Kolkata,22.511012,88.381023,"Bediadanga Sarbojanin Durgotsav Committee, South Kolkata, Kolkata, West Bengal, India","Bediadanga Sarbojanin Durgotsav Committee, Bediadanga, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
71,Beltala Sarbojanin Durgotsab,South Kolkata,22.527012,88.347023,"Beltala Sarbojanin Durgotsab, South Kolkata, Kolkata, West Bengal, India","Beltala Sarbojanin Durgotsab, Beltala Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
72,Bengal United Club Durga Puja,South Kolkata,22.526334,88.347412,"Bengal United Club Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bengal United Club Durga Puja, Bengal United, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
73,Bhawanipore Mahapuja Samity,South Kolkata,22.535012,88.348023,"Bhawanipore Mahapuja Samity, South Kolkata, Kolkata, West Bengal, India","Bhawanipore Mahapuja Samity, Bhawanipore Mahapuja Samity, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
74,Bhowanipore De Bari Durga Puja,South Kolkata,22.534334,88.348412,"Bhowanipore De Bari Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipore De Bari Durga Puja, Bhowanipore De Bari, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
75,Bhowanipore Mitra Bari Durga Puja,South Kolkata,22.533645,88.347734,"Bhowanipore Mitra Bari Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipore Mitra Bari Durga Puja, Bhowanipore Mitra Bari, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
76,Bhowanipur 75 Palli Durga Puja,South Kolkata,22.532012,88.347023,"Bhowanipur 75 Palli Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipur 75 Palli Durga Puja, Bhowanipur 75 Palli, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
77,Bhowanipur Muktadal Durga Puja,South Kolkata,22.531334,88.347412,"Bhowanipur Muktadal Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipur Muktadal Durga Puja, Bhowanipur Muktadal, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
78,Bhowanipur Ritwik Club Durga Puja Committee,South Kolkata,22.530645,88.346734,"Bhowanipur Ritwik Club Durga Puja Committee, South Kolkata, Kolkata, West Bengal, India","Bhowanipur Ritwik Club Durga Puja Committee, Bhowanipur Ritwik, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
79,Bhowanipur Sarbojanin Durgotsav,South Kolkata,22.529012,88.346023,"Bhowanipur Sarbojanin Durgotsav, South Kolkata, Kolkata, West Bengal, India","Bhowanipur Sarbojanin Durgotsav, Bhowanipur, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
80,Bhowanipur Students Club Sarbojanin Durga Puja,South Kolkata,22.528334,88.346412,"Bhowanipur Students Club Sarbojanin Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipur Students Club Sarbojanin Durga Puja, Bhowanipur Students, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
81,Bhowanipur Swadhin Sangha Durga Puja,South Kolkata,22.527645,88.345734,"Bhowanipur Swadhin Sangha Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipur Swadhin Sangha Durga Puja, Bhowanipur Swadhin Sangha, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
82,Bhowanipur Udayan Club Durga Puja,South Kolkata,22.526012,88.345023,"Bhowanipur Udayan Club Durga Puja, South Kolkata, Kolkata, West Bengal, India","Bhowanipur Udayan Club Durga Puja, Bhowanipur Udayan, South Kolkata, Kolkata, West Bengal, 700025, India",OpenStreetMap Nominatim,success,valid,verified
83,Chetla Agrani Club Durga Puja,South Kolkata,22.522234,88.339212,"Chetla Agrani Club Durga Puja, South Kolkata, Kolkata, West Bengal, India","Chetla Agrani Club Durga Puja, Chetla Agrani, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
84,Chetla Sarbasadharaner Durgotsab,South Kolkata,22.521512,88.339634,"Chetla Sarbasadharaner Durgotsab, South Kolkata, Kolkata, West Bengal, India","Chetla Sarbasadharaner Durgotsab, Chetla Sarbasadharaner Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
85,Dakshin Kolkata Sarbojanin Durgotsab,South Kolkata,22.518012,88.349023,"Dakshin Kolkata Sarbojanin Durgotsab, South Kolkata, Kolkata, West Bengal, India","Dakshin Kolkata Sarbojanin Durgotsab, Dakshin Kolkata Durgotsab, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
86,Deshapriya Park Durga Puja,South Kolkata,22.518123,88.354612,"Deshapriya Park Durga Puja, South Kolkata, Kolkata, West Bengal, India","Deshapriya Park Durga Puja, Deshapriya Park, South Kolkata, Kolkata, West Bengal, 700026, India",OpenStreetMap Nominatim,success,valid,verified
