pandal_id,pandal_name,eatery_name,clean_name,cuisine_type,distance_m,distance_km,budget_for_two_inr,best_recommended_item,eatery_latitude,eatery_longitude
5,Bandhudal Durgotsob,Putiram Sweets (Near Bandhudal Durgotsob),Putiram Sweets,Traditional Bengali Breakfast,860,0.86,150,Radhaballabhi with Cholar Dal,22.596235,88.359646
6,Beadon Street Sarbojanin Durgotsav,Golbari (New Punjabi Hotel) (Near Beadon Street Sarbojanin Durgotsav),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,900,0.9,450,Kosha Mangsho & Roomali Roti,22.605638,88.365809
6,Beadon Street Sarbojanin Durgotsav,Allen Kitchen (Near Beadon Street Sarbojanin Durgotsav),Allen Kitchen,Heritage Cabin,920,0.92,400,Prawn Cutlet (pure ghee fried),22.604266,88.367563
6,Beadon Street Sarbojanin Durgotsav,Chittaranjan Mistanna Bhandar (Near Beadon Street Sarbojanin Durgotsav),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,840,0.84,180,White Rosogolla & Mishti Doi,22.618907,88.374066
7,Belgachia Sadharan Durgotsab,Haji Biryani (Near Belgachia Sadharan Durgotsab),Haji Biryani,Mughlai,970,0.97,400,Awadhi Mutton Biryani,22.600802,88.374477
7,Belgachia Sadharan Durgotsab,Chittaranjan Mistanna Bhandar (Near Belgachia Sadharan Durgotsab),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,920,0.92,180,White Rosogolla & Mishti Doi,22.589342,88.388046
8,Belgachia Yuba Sammilani Durga Puja,Aheli Express (Near Belgachia Yuba Sammilani Durga Puja),Aheli Express,Bengali Fine Fast,590,0.59,700,Macher Paturi & Chingri Malai Curry,22.599956,88.372675
8,Belgachia Yuba Sammilani Durga Puja,Basanta Cabin (Near Belgachia Yuba Sammilani Durga Puja),Basanta Cabin,Heritage Cabin,830,0.83,220,Mughlai Paratha & Alur Dom,22.600996,88.360436
8,Belgachia Yuba Sammilani Durga Puja,Paramount Sherbets & Syrups (Near Belgachia Yuba Sammilani Durga Puja),Paramount Sherbets & Syrups,Heritage Beverage Cabin,830,0.83,220,Daab Sharbat & Cocoa Malai,22.609997,88.371648
9,Bhagabati Park Durga Puja Committee,Allen Kitchen (Near Bhagabati Park Durga Puja Committee),Allen Kitchen,Heritage Cabin,630,0.63,400,Prawn Cutlet (pure ghee fried),22.605474,88.379763
9,Bhagabati Park Durga Puja Committee,Nobin Chandra Das Sweets (Near Bhagabati Park Durga Puja Committee),Nobin Chandra Das Sweets,Sweet Shop,640,0.64,200,Abar Khaobo & Traditional Rosogolla,22.616176,88.375509
10,Bharatiya Tarun Sangha Durga Puja,Aheli Express (Near Bharatiya Tarun Sangha Durga Puja),Aheli Express,Bengali Fine Fast,910,0.91,700,Macher Paturi & Chingri Malai Curry,22.596161,88.355798
10,Bharatiya Tarun Sangha Durga Puja,Paramount Sherbets & Syrups (Near Bharatiya Tarun Sangha Durga Puja),Paramount Sherbets & Syrups,Heritage Beverage Cabin,630,0.63,220,Daab Sharbat & Cocoa Malai,22.600405,88.365762
11,Brindaban Matri Mandir Durga Puja,Putiram Sweets (Near Brindaban Matri Mandir Durga Puja),Putiram Sweets,Traditional Bengali Breakfast,620,0.62,150,Radhaballabhi with Cholar Dal,22.607895,88.372594
11,Brindaban Matri Mandir Durga Puja,Chittaranjan Mistanna Bhandar (Near Brindaban Matri Mandir Durga Puja),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,920,0.92,180,White Rosogolla & Mishti Doi,22.599356,88.382935
11,Brindaban Matri Mandir Durga Puja,Golbari (New Punjabi Hotel) (Near Brindaban Matri Mandir Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,820,0.82,450,Kosha Mangsho & Roomali Roti,22.596767,88.379577
12,Calcutta Youth Forum,Girish Chandra Dey & Nakur Chandra Nandy (Near Calcutta Youth Forum),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,630,0.63,200,Jolbhora Sandesh & Chocolate Sandesh,22.605133,88.358628
12,Calcutta Youth Forum,Chittaranjan Mistanna Bhandar (Near Calcutta Youth Forum),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,640,0.64,180,White Rosogolla & Mishti Doi,22.605422,88.357778
12,Calcutta Youth Forum,Das Cabin (Near Calcutta Youth Forum),Das Cabin,Cabin Snacks,930,0.93,250,Mutton Moglai & Kobiraji,22.603626,88.366281
13,Campbagan Sadharan Durgotsav,Girish Chandra Dey & Nakur Chandra Nandy (Near Campbagan Sadharan Durgotsav),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,750,0.75,200,Jolbhora Sandesh & Chocolate Sandesh,22.59448,88.36383
13,Campbagan Sadharan Durgotsav,Allen Kitchen (Near Campbagan Sadharan Durgotsav),Allen Kitchen,Heritage Cabin,920,0.92,400,Prawn Cutlet (pure ghee fried),22.599004,88.378458
14,Chaltabagan Lohapatty Durga Puja,Haji Biryani (Near Chaltabagan Lohapatty Durga Puja),Haji Biryani,Mughlai,710,0.71,400,Awadhi Mutton Biryani,22.590039,88.372197
14,Chaltabagan Lohapatty Durga Puja,Aheli Express (Near Chaltabagan Lohapatty Durga Puja),Aheli Express,Bengali Fine Fast,700,0.7,700,Macher Paturi & Chingri Malai Curry,22.590452,88.369346
15,Chorebagan Sarbojanin Durgotsab Samity,Allen Kitchen (Near Chorebagan Sarbojanin Durgotsab Samity),Allen Kitchen,Heritage Cabin,830,0.83,400,Prawn Cutlet (pure ghee fried),22.61549,88.372847
15,Chorebagan Sarbojanin Durgotsab Samity,Basanta Cabin (Near Chorebagan Sarbojanin Durgotsab Samity),Basanta Cabin,Heritage Cabin,930,0.93,220,Mughlai Paratha & Alur Dom,22.609891,88.358473
15,Chorebagan Sarbojanin Durgotsab Samity,Mitra Cafe (Near Chorebagan Sarbojanin Durgotsab Samity),Mitra Cafe,Historic Cabin / Bengali Snacks,870,0.87,350,Fish Kabiraji & Mutton Brain Chop,22.605622,88.374666
16,Cossipore Shakti Sangha Durga Puja,Putiram Sweets (Near Cossipore Shakti Sangha Durga Puja),Putiram Sweets,Traditional Bengali Breakfast,520,0.52,150,Radhaballabhi with Cholar Dal,22.592792,88.372752
16,Cossipore Shakti Sangha Durga Puja,Girish Chandra Dey & Nakur Chandra Nandy (Near Cossipore Shakti Sangha Durga Puja),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,850,0.85,200,Jolbhora Sandesh & Chocolate Sandesh,22.60118,88.376281
16,Cossipore Shakti Sangha Durga Puja,Dilkhusa Cabin (Near Cossipore Shakti Sangha Durga Puja),Dilkhusa Cabin,Historic Cabin,870,0.87,250,Dimer Devil & Fish Roll,22.585753,88.377326
17,Dakshin Rabindrapally Sarbojanin Durga Puja,Basanta Cabin (Near Dakshin Rabindrapally Sarbojanin Durga Puja),Basanta Cabin,Heritage Cabin,660,0.66,220,Mughlai Paratha & Alur Dom,22.597588,88.359024
17,Dakshin Rabindrapally Sarbojanin Durga Puja,Aheli Express (Near Dakshin Rabindrapally Sarbojanin Durga Puja),Aheli Express,Bengali Fine Fast,800,0.8,700,Macher Paturi & Chingri Malai Curry,22.605571,88.370323
18,Darjeepara Sarbojanin Durgotsab Samity,Allen Kitchen (Near Darjeepara Sarbojanin Durgotsab Samity),Allen Kitchen,Heritage Cabin,940,0.94,400,Prawn Cutlet (pure ghee fried),22.616622,88.369641
18,Darjeepara Sarbojanin Durgotsab Samity,Haji Biryani (Near Darjeepara Sarbojanin Durgotsab Samity),Haji Biryani,Mughlai,800,0.8,400,Awadhi Mutton Biryani,22.601996,88.37468
19,Deshbandhunagar Sarbojanin Durgotsab,Das Cabin (Near Deshbandhunagar Sarbojanin Durgotsab),Das Cabin,Cabin Snacks,920,0.92,250,Mutton Moglai & Kobiraji,22.618818,88.360312
19,Deshbandhunagar Sarbojanin Durgotsab,Paramount Sherbets & Syrups (Near Deshbandhunagar Sarbojanin Durgotsab),Paramount Sherbets & Syrups,Heritage Beverage Cabin,660,0.66,220,Daab Sharbat & Cocoa Malai,22.620312,88.370398
20,Dum Dum Park Bharat Chakra Durga Puja,Golbari (New Punjabi Hotel) (Near Dum Dum Park Bharat Chakra Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,740,0.74,450,Kosha Mangsho & Roomali Roti,22.616581,88.402268
20,Dum Dum Park Bharat Chakra Durga Puja,Nobin Chandra Das Sweets (Near Dum Dum Park Bharat Chakra Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,870,0.87,200,Abar Khaobo & Traditional Rosogolla,22.611294,88.39081
21,Dum Dum Park Sarbojanin Durga Puja,Aheli Express (Near Dum Dum Park Sarbojanin Durga Puja),Aheli Express,Bengali Fine Fast,960,0.96,700,Macher Paturi & Chingri Malai Curry,22.634737,88.396591
21,Dum Dum Park Sarbojanin Durga Puja,Dilkhusa Cabin (Near Dum Dum Park Sarbojanin Durga Puja),Dilkhusa Cabin,Historic Cabin,760,0.76,250,Dimer Devil & Fish Roll,22.624935,88.383953
22,Goabagan Sarodatsav Sammilani Durga Puja,Das Cabin (Near Goabagan Sarodatsav Sammilani Durga Puja),Das Cabin,Cabin Snacks,870,0.87,250,Mutton Moglai & Kobiraji,22.58951,88.359066
22,Goabagan Sarodatsav Sammilani Durga Puja,Allen Kitchen (Near Goabagan Sarodatsav Sammilani Durga Puja),Allen Kitchen,Heritage Cabin,850,0.85,400,Prawn Cutlet (pure ghee fried),22.586222,88.371837
23,Golaghata Sammilani Durga Puja,Dilkhusa Cabin (Near Golaghata Sammilani Durga Puja),Dilkhusa Cabin,Historic Cabin,580,0.58,250,Dimer Devil & Fish Roll,22.601064,88.382695
23,Golaghata Sammilani Durga Puja,Allen Kitchen (Near Golaghata Sammilani Durga Puja),Allen Kitchen,Heritage Cabin,680,0.68,400,Prawn Cutlet (pure ghee fried),22.595007,88.373637
23,Golaghata Sammilani Durga Puja,Das Cabin (Near Golaghata Sammilani Durga Puja),Das Cabin,Cabin Snacks,630,0.63,250,Mutton Moglai & Kobiraji,22.601294,88.383146
24,Grey Street Sarbojanin Durga Puja,Nobin Chandra Das Sweets (Near Grey Street Sarbojanin Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,550,0.55,200,Abar Khaobo & Traditional Rosogolla,22.612547,88.365544
24,Grey Street Sarbojanin Durga Puja,Aheli Express (Near Grey Street Sarbojanin Durga Puja),Aheli Express,Bengali Fine Fast,530,0.53,700,Macher Paturi & Chingri Malai Curry,22.605692,88.367858
25,Halsibagan Sarbojanin Durgotsab,Chittaranjan Mistanna Bhandar (Near Halsibagan Sarbojanin Durgotsab),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,740,0.74,180,White Rosogolla & Mishti Doi,22.585333,88.371755
25,Halsibagan Sarbojanin Durgotsab,Aheli Express (Near Halsibagan Sarbojanin Durgotsab),Aheli Express,Bengali Fine Fast,850,0.85,700,Macher Paturi & Chingri Malai Curry,22.597505,88.367942
26,Hari Ghosh Street Sarbojanin,Arsalan (Near Hari Ghosh Street Sarbojanin),Arsalan,Mughlai,890,0.89,600,Mutton Biryani & Chicken Chaap,22.602589,88.367794
26,Hari Ghosh Street Sarbojanin,Haji Biryani (Near Hari Ghosh Street Sarbojanin),Haji Biryani,Mughlai,560,0.56,400,Awadhi Mutton Biryani,22.595048,88.362021
26,Hari Ghosh Street Sarbojanin,Dilkhusa Cabin (Near Hari Ghosh Street Sarbojanin),Dilkhusa Cabin,Historic Cabin,710,0.71,250,Dimer Devil & Fish Roll,22.593361,88.361155
27,Hatibagan Nabinpally Sarbojanin Durgotsav,Aheli Express (Near Hatibagan Nabinpally Sarbojanin Durgotsav),Aheli Express,Bengali Fine Fast,970,0.97,700,Macher Paturi & Chingri Malai Curry,22.61456,88.375395
27,Hatibagan Nabinpally Sarbojanin Durgotsav,Das Cabin (Near Hatibagan Nabinpally Sarbojanin Durgotsav),Das Cabin,Cabin Snacks,710,0.71,250,Mutton Moglai & Kobiraji,22.603995,88.375773
28,Jagat Mukherjee Park Durga Puja,Arsalan (Near Jagat Mukherjee Park Durga Puja),Arsalan,Mughlai,610,0.61,600,Mutton Biryani & Chicken Chaap,22.593002,88.364028
28,Jagat Mukherjee Park Durga Puja,Das Cabin (Near Jagat Mukherjee Park Durga Puja),Das Cabin,Cabin Snacks,710,0.71,250,Mutton Moglai & Kobiraji,22.597089,88.368943
29,Jokermath Sarbojonin Durga Puja,Basanta Cabin (Near Jokermath Sarbojonin Durga Puja),Basanta Cabin,Heritage Cabin,720,0.72,220,Mughlai Paratha & Alur Dom,22.609405,88.366963
29,Jokermath Sarbojonin Durga Puja,Golbari (New Punjabi Hotel) (Near Jokermath Sarbojonin Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,770,0.77,450,Kosha Mangsho & Roomali Roti,22.611827,88.374665
30,Kailash Bose Street Durga Puja,Golbari (New Punjabi Hotel) (Near Kailash Bose Street Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,910,0.91,450,Kosha Mangsho & Roomali Roti,22.593176,88.37317
30,Kailash Bose Street Durga Puja,Haji Biryani (Near Kailash Bose Street Durga Puja),Haji Biryani,Mughlai,740,0.74,400,Awadhi Mutton Biryani,22.590556,88.372526
31,Kankurgachi Sarbojanin Durgotsab,Das Cabin (Near Kankurgachi Sarbojanin Durgotsab),Das Cabin,Cabin Snacks,690,0.69,250,Mutton Moglai & Kobiraji,22.593037,88.375115
31,Kankurgachi Sarbojanin Durgotsab,Mitra Cafe (Near Kankurgachi Sarbojanin Durgotsab),Mitra Cafe,Historic Cabin / Bengali Snacks,640,0.64,350,Fish Kabiraji & Mutton Brain Chop,22.588053,88.369649
31,Kankurgachi Sarbojanin Durgotsab,Girish Chandra Dey & Nakur Chandra Nandy (Near Kankurgachi Sarbojanin Durgotsab),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,730,0.73,200,Jolbhora Sandesh & Chocolate Sandesh,22.580979,88.379037
32,Kashi Bose Lane Durga Puja Committee,Girish Chandra Dey & Nakur Chandra Nandy (Near Kashi Bose Lane Durga Puja Committee),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,620,0.62,200,Jolbhora Sandesh & Chocolate Sandesh,22.594467,88.37029
32,Kashi Bose Lane Durga Puja Committee,Arsalan (Near Kashi Bose Lane Durga Puja Committee),Arsalan,Mughlai,860,0.86,600,Mutton Biryani & Chicken Chaap,22.596448,88.37125
32,Kashi Bose Lane Durga Puja Committee,Chittaranjan Mistanna Bhandar (Near Kashi Bose Lane Durga Puja Committee),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,660,0.66,180,White Rosogolla & Mishti Doi,22.594909,88.370113
33,Kumartuli Park Sarbojanin Durgotsab Committee,Allen Kitchen (Near Kumartuli Park Sarbojanin Durgotsab Committee),Allen Kitchen,Heritage Cabin,590,0.59,400,Prawn Cutlet (pure ghee fried),22.604687,88.358745
33,Kumartuli Park Sarbojanin Durgotsab Committee,Basanta Cabin (Near Kumartuli Park Sarbojanin Durgotsab Committee),Basanta Cabin,Heritage Cabin,560,0.56,220,Mughlai Paratha & Alur Dom,22.601499,88.365157
33,Kumartuli Park Sarbojanin Durgotsab Committee,Das Cabin (Near Kumartuli Park Sarbojanin Durgotsab Committee),Das Cabin,Cabin Snacks,790,0.79,250,Mutton Moglai & Kobiraji,22.596277,88.353291
34,Kumartuli Sarbojanin Durgotsab,Putiram Sweets (Near Kumartuli Sarbojanin Durgotsab),Putiram Sweets,Traditional Bengali Breakfast,950,0.95,150,Radhaballabhi with Cholar Dal,22.591042,88.356615
34,Kumartuli Sarbojanin Durgotsab,Golbari (New Punjabi Hotel) (Near Kumartuli Sarbojanin Durgotsab),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,790,0.79,450,Kosha Mangsho & Roomali Roti,22.605746,88.362434
35,Lake View Park Sarbojanin Durgotsav Samity,Putiram Sweets (Near Lake View Park Sarbojanin Durgotsav Samity),Putiram Sweets,Traditional Bengali Breakfast,790,0.79,150,Radhaballabhi with Cholar Dal,22.601174,88.369615
35,Lake View Park Sarbojanin Durgotsav Samity,Aheli Express (Near Lake View Park Sarbojanin Durgotsav Samity),Aheli Express,Bengali Fine Fast,950,0.95,700,Macher Paturi & Chingri Malai Curry,22.61068,88.379577
36,Mahalla Sarbojanin Durgautsab Samity,Arsalan (Near Mahalla Sarbojanin Durgautsab Samity),Arsalan,Mughlai,580,0.58,600,Mutton Biryani & Chicken Chaap,22.58881,88.352464
36,Mahalla Sarbojanin Durgautsab Samity,Chittaranjan Mistanna Bhandar (Near Mahalla Sarbojanin Durgautsab Samity),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,730,0.73,180,White Rosogolla & Mishti Doi,22.597968,88.35387
36,Mahalla Sarbojanin Durgautsab Samity,Putiram Sweets (Near Mahalla Sarbojanin Durgautsab Samity),Putiram Sweets,Traditional Bengali Breakfast,960,0.96,150,Radhaballabhi with Cholar Dal,22.600589,88.357475
37,Mitali Kankurgachi Durga Puja,Golbari (New Punjabi Hotel) (Near Mitali Kankurgachi Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,620,0.62,450,Kosha Mangsho & Roomali Roti,22.589299,88.373128
37,Mitali Kankurgachi Durga Puja,Allen Kitchen (Near Mitali Kankurgachi Durga Puja),Allen Kitchen,Heritage Cabin,950,0.95,400,Prawn Cutlet (pure ghee fried),22.596129,88.360832
38,Nalin Sarkar Street Sarbojanin Durgotsab,Paramount Sherbets & Syrups (Near Nalin Sarkar Street Sarbojanin Durgotsab),Paramount Sherbets & Syrups,Heritage Beverage Cabin,590,0.59,220,Daab Sharbat & Cocoa Malai,22.600292,88.372381
38,Nalin Sarkar Street Sarbojanin Durgotsab,Chittaranjan Mistanna Bhandar (Near Nalin Sarkar Street Sarbojanin Durgotsab),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,840,0.84,180,White Rosogolla & Mishti Doi,22.59181,88.372069
39,Nimtala Sarbojanin Durgotsab,Aheli Express (Near Nimtala Sarbojanin Durgotsab),Aheli Express,Bengali Fine Fast,780,0.78,700,Macher Paturi & Chingri Malai Curry,22.601849,88.352057
39,Nimtala Sarbojanin Durgotsab,Basanta Cabin (Near Nimtala Sarbojanin Durgotsab),Basanta Cabin,Heritage Cabin,570,0.57,220,Mughlai Paratha & Alur Dom,22.59915,88.351368
40,Sreebhumi Sporting Club Durga Puja,Golbari (New Punjabi Hotel) (Near Sreebhumi Sporting Club Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,770,0.77,450,Kosha Mangsho & Roomali Roti,22.598748,88.405031
40,Sreebhumi Sporting Club Durga Puja,Das Cabin (Near Sreebhumi Sporting Club Durga Puja),Das Cabin,Cabin Snacks,800,0.8,250,Mutton Moglai & Kobiraji,22.598261,88.389988
40,Sreebhumi Sporting Club Durga Puja,Nobin Chandra Das Sweets (Near Sreebhumi Sporting Club Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,610,0.61,200,Abar Khaobo & Traditional Rosogolla,22.596055,88.393179
41,Tala Barowari Durgotsab,Allen Kitchen (Near Tala Barowari Durgotsab),Allen Kitchen,Heritage Cabin,940,0.94,400,Prawn Cutlet (pure ghee fried),22.612339,88.367705
41,Tala Barowari Durgotsab,Dilkhusa Cabin (Near Tala Barowari Durgotsab),Dilkhusa Cabin,Historic Cabin,560,0.56,250,Dimer Devil & Fish Roll,22.60302,88.377751
41,Tala Barowari Durgotsab,Chittaranjan Mistanna Bhandar (Near Tala Barowari Durgotsab),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,650,0.65,180,White Rosogolla & Mishti Doi,22.613389,88.375375
42,Tala Dakshin Pally Durgotsav Committee,Aheli Express (Near Tala Dakshin Pally Durgotsav Committee),Aheli Express,Bengali Fine Fast,590,0.59,700,Macher Paturi & Chingri Malai Curry,22.60184,88.377664
42,Tala Dakshin Pally Durgotsav Committee,Chittaranjan Mistanna Bhandar (Near Tala Dakshin Pally Durgotsav Committee),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,840,0.84,180,White Rosogolla & Mishti Doi,22.599776,88.37256
43,Tala Park 15 Pally Durga Puja,Golbari (New Punjabi Hotel) (Near Tala Park 15 Pally Durga Puja),Golbari (New Punjabi Hotel),Iconic Mughlai / Bengali,940,0.94,450,Kosha Mangsho & Roomali Roti,22.59899,88.37235
43,Tala Park 15 Pally Durga Puja,Nobin Chandra Das Sweets (Near Tala Park 15 Pally Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,900,0.9,200,Abar Khaobo & Traditional Rosogolla,22.600075,88.370594
44,Telengabagan Sarbojanin Durgotsab,Putiram Sweets (Near Telengabagan Sarbojanin Durgotsab),Putiram Sweets,Traditional Bengali Breakfast,540,0.54,150,Radhaballabhi with Cholar Dal,22.58999,88.386072
44,Telengabagan Sarbojanin Durgotsab,Girish Chandra Dey & Nakur Chandra Nandy (Near Telengabagan Sarbojanin Durgotsab),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,960,0.96,200,Jolbhora Sandesh & Chocolate Sandesh,22.601673,88.380516
45,Ultadanga Jagarani Sangha Durga Puja,Das Cabin (Near Ultadanga Jagarani Sangha Durga Puja),Das Cabin,Cabin Snacks,620,0.62,250,Mutton Moglai & Kobiraji,22.592551,88.388544
45,Ultadanga Jagarani Sangha Durga Puja,Paramount Sherbets & Syrups (Near Ultadanga Jagarani Sangha Durga Puja),Paramount Sherbets & Syrups,Heritage Beverage Cabin,570,0.57,220,Daab Sharbat & Cocoa Malai,22.593504,88.377065
46,Ultadanga Pallyshree Durga Puja,Bhooter Raja Dilo Bor (Near Ultadanga Pallyshree Durga Puja),Bhooter Raja Dilo Bor,Traditional Bengali Dining,950,0.95,850,"Thali (Bhat, Sukto, Ilish, Mangsho)",22.593527,88.391045
46,Ultadanga Pallyshree Durga Puja,Nobin Chandra Das Sweets (Near Ultadanga Pallyshree Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,590,0.59,200,Abar Khaobo & Traditional Rosogolla,22.594457,88.376373
46,Ultadanga Pallyshree Durga Puja,Girish Chandra Dey & Nakur Chandra Nandy (Near Ultadanga Pallyshree Durga Puja),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,600,0.6,200,Jolbhora Sandesh & Chocolate Sandesh,22.588189,88.384891
47,Ultadanga Sangrami Durga Puja,Nobin Chandra Das Sweets (Near Ultadanga Sangrami Durga Puja),Nobin Chandra Das Sweets,Sweet Shop,880,0.88,200,Abar Khaobo & Traditional Rosogolla,22.58628,88.386722
47,Ultadanga Sangrami Durga Puja,Paramount Sherbets & Syrups (Near Ultadanga Sangrami Durga Puja),Paramount Sherbets & Syrups,Heritage Beverage Cabin,830,0.83,220,Daab Sharbat & Cocoa Malai,22.592341,88.374172
48,Young Citizens Club Durga Puja,Chittaranjan Mistanna Bhandar (Near Young Citizens Club Durga Puja),Chittaranjan Mistanna Bhandar,Heritage Sweet Shop,880,0.88,180,White Rosogolla & Mishti Doi,22.604815,88.377813
48,Young Citizens Club Durga Puja,Girish Chandra Dey & Nakur Chandra Nandy (Near Young Citizens Club Durga Puja),Girish Chandra Dey & Nakur Chandra Nandy,Heritage Sweet Shop,920,0.92,200,Jolbhora Sandesh & Chocolate Sandesh,22.60387,88.365486
49,21 Pally Sarbojanin Durgotsab Samiti,Campari (Near 21 Pally Sarbojanin Durgotsab Samiti),Campari,Snack & Cutlet Joint,680,0.68,250,Fish Fry with Kasundi & Mutton Roll,22.530649,88.343049
49,21 Pally Sarbojanin Durgotsab Samiti,Koshe Kosha (Near 21 Pally Sarbojanin Durgotsab Samiti),Koshe Kosha,Authentic Bengali,920,0.92,700,Kosha Mangsho with Luchi,22.529421,88.357841
50,22 Palli Sarodotsav,Roastery Coffee House (Near 22 Palli Sarodotsav),Roastery Coffee House,Cafe & Continental,650,0.65,800,Cranberry Cold Brew & Mac and Cheese,22.532662,88.352083
50,22 Palli Sarodotsav,Bhojohori Manna (Near 22 Palli Sarodotsav),Bhojohori Manna,Traditional Bengali,880,0.88,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.52261,88.356299
51,25 Pally Durga Puja,Bhojohori Manna (Near 25 Pally Durga Puja),Bhojohori Manna,Traditional Bengali,920,0.92,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.526059,88.357659
51,25 Pally Durga Puja,6 Ballygunge Place (Near 25 Pally Durga Puja),6 Ballygunge Place,Heritage Bengali,790,0.79,1100,Dab Chingri & Kosha Mangsho,22.533751,88.347941
51,25 Pally Durga Puja,Kasturi Restaurant (Near 25 Pally Durga Puja),Kasturi Restaurant,Dhakai Bangladeshi Bengali,540,0.54,650,Kochu Pata Diye Chingri Bhapa & Dhakai Mangsho,22.522633,88.345739
52,64 Pally Durgotsab Committee,Bhojohori Manna (Near 64 Pally Durgotsab Committee),Bhojohori Manna,Traditional Bengali,970,0.97,750,"Ilish Bhapa, Kosha Mangsho & Basanti Pulao",22.527569,88.35329
52,64 Pally Durgotsab Committee,Ganguram Sweets (Near 64 Pally Durgotsab Committee),Ganguram Sweets,Sweet Corner,930,0.93,180,Mishti Doi & Kesar Radhaballavi,22.524104,88.355434
